店舗,新台入替回数,総導入台数,平均差枚数,平均回転数,勝率
APANCLUB弘法通り,15.0,101.0,-28.386138613861387,5777.465346534654,0.42574257425742573
オーギヤ豊川蔵子,14.0,134.0,-39.52238805970149,6339.29104477612,0.44029850746268656
マリオン十番町,7.0,15.0,-41.2,385.1333333333333,0.13333333333333333
KYORAKU妙音通,32.0,274.0,-51.36861313868613,3304.919708029197,0.3613138686131387
キング観光サウザンド栄東新町,37.0,323.0,-53.204334365325074,6189.702786377709,0.4117647058823529
ZENT扶桑,35.0,505.0,-53.82772277227723,4630.792079207921,0.42376237623762375
丸新東刈谷,10.0,96.0,-57.989583333333336,1942.5520833333333,0.3229166666666667
KEIZアピタ伊賀上野,13.0,138.0,-58.789855072463766,2034.9420289855072,0.34782608695652173
マリオンガーデン岐阜本,20.0,120.0,-62.86666666666667,2641.4416666666666,0.325
Zing大樹寺,13.0,203.0,-71.89655172413794,4072.5812807881775,0.3399014778325123
ミカド観光半田,14.0,122.0,-72.23770491803279,5126.450819672131,0.4426229508196721
スーパードーム上野,5.0,61.0,-72.8688524590164,5994.049180327869,0.3770491803278688
A-FLAG津,32.0,161.0,-89.00621118012423,2703.968944099379,0.37267080745341613
ホームラン平田,12.0,70.0,-90.71428571428571,3932.3,0.3
エアポート777土岐,8.0,28.0,-100.32142857142857,1914.0714285714287,0.25
プレイランドキャッスル知多,43.0,186.0,-100.55913978494624,3069.3225806451615,0.3763440860215054
KEIZ美濃インター,15.0,146.0,-104.13013698630137,4144.671232876713,0.3904109589041096
オーギヤ江南,18.0,207.0,-105.89371980676329,5987.024154589372,0.36231884057971014
プレイランドキャッスルワンダー,38.0,808.0,-106.36014851485149,4528.283415841584,0.40717821782178215
KEIZ岐阜六条,12.0,122.0,-110.60655737704919,3719.7868852459014,0.319672131147541
リブレ-遊援館,11.0,167.0,-112.41916167664671,4809.017964071856,0.38323353293413176
ZENT長久手,7.0,89.0,-112.69662921348315,2629.61797752809,0.4157303370786517
